productID,mainCategoryID,subCategoryID,price,stock,name,weight
1,6,2,500,84,상품1,430
2,2,34,7400,90,상품2,440
3,7,11,7300,33,상품3,360
4,7,11,4700,48,상품4,100
5,6,2,8700,73,상품5,480
6,13,9,8500,32,상품6,340
7,6,26,2300,58,상품7,390
8,8,40,9500,59,상품8,490
9,1,24,8400,47,상품9,260
10,12,28,600,55,상품10,350
11,5,42,4600,52,상품11,70
12,8,40,5300,41,상품12,10
13,7,15,1800,96,상품13,480
14,2,21,6700,56,상품14,300
15,5,43,2400,73,상품15,370
16,6,2,2500,93,상품16,390
17,1,24,9600,44,상품17,440
18,1,24,500,59,상품18,430
19,6,37,6000,69,상품19,490
20,15,29,4900,33,상품20,440
21,5,43,5500,44,상품21,300
22,9,22,6500,44,상품22,170
23,4,30,7900,57,상품23,120
24,17,19,2200,79,상품24,240
25,9,36,1500,54,상품25,320
26,17,19,9400,46,상품26,320
27,10,10,3900,85,상품27,150
28,9,22,3900,97,상품28,420
29,17,39,5400,80,상품29,100
30,2,14,6500,56,상품30,380
31,1,7,6900,57,상품31,440
32,10,10,5500,66,상품32,390
33,3,16,1700,73,상품33,350
34,2,21,3600,50,상품34,240
35,4,30,8400,48,상품35,140
36,1,27,5100,40,상품36,100
37,1,7,6300,32,상품37,150
38,13,9,7500,99,상품38,460
39,12,3,7100,62,상품39,300
40,8,35,3400,46,상품40,280
41,10,20,2900,43,상품41,150
42,11,5,7500,51,상품42,50
43,12,3,6600,63,상품43,230
44,11,23,3900,43,상품44,220
45,10,10,6500,99,상품45,370
46,17,33,3900,57,상품46,120
47,10,18,9800,83,상품47,230
48,17,33,5000,31,상품48,490
49,12,28,8900,67,상품49,420
50,15,1,3900,47,상품50,240
51,10,18,5200,43,상품51,300
52,5,43,7300,89,상품52,200
53,4,30,6700,74,상품53,290
54,3,32,9300,42,상품54,130
55,3,16,9200,75,상품55,430
56,16,41,6100,51,상품56,240
57,12,28,8300,51,상품57,30
58,11,5,2900,53,상품58,410
59,8,4,4800,59,상품59,350
60,5,42,7300,40,상품60,40
61,9,22,9800,50,상품61,70
62,10,10,5400,43,상품62,410
63,10,18,2100,83,상품63,230
64,9,22,3600,80,상품64,330
65,11,23,9300,64,상품65,420
66,1,24,8900,33,상품66,320
67,15,29,6400,57,상품67,10
68,4,30,5900,57,상품68,390
69,17,33,2700,66,상품69,480
70,9,22,9900,68,상품70,30
71,10,10,5400,99,상품71,60
72,2,34,5100,42,상품72,250
73,11,23,5000,46,상품73,210
74,8,35,1900,38,상품74,320
75,5,42,6500,74,상품75,20
76,4,30,8200,37,상품76,20
77,11,38,1700,40,상품77,440
78,17,6,8800,70,상품78,150
79,8,35,1800,60,상품79,470
80,10,18,3100,89,상품80,70
81,17,8,7400,30,상품81,120
82,9,22,8100,66,상품82,380
83,11,5,3100,92,상품83,260
